local_epochs,seed,mu,best_validation_macro_f1,clean_test_accuracy,clean_test_macro_f1,mnar50_accuracy,mnar50_macro_f1,mnar50_ece
1,42,0.0,0.8762,0.7492,0.6198,0.5356,0.4806,0.1359
1,43,0.0,0.8787,0.7214,0.5811,0.5270,0.4285,0.1140
1,44,0.0,0.8764,0.7406,0.5929,0.5253,0.4661,0.1654
1,264,0.0,0.8578,0.7427,0.6290,0.4898,0.4583,0.1660
2,42,0.0,0.8379,0.7617,0.6446,0.5666,0.4840,0.1266
2,43,0.0,0.8356,0.7565,0.6223,0.5993,0.5021,0.0811
2,44,0.0,0.8664,0.7079,0.5616,0.4762,0.4366,0.1261
2,264,0.0,0.8435,0.7399,0.5653,0.5025,0.4337,0.1617
4,42,0.0,0.8259,0.7320,0.5651,0.5778,0.4408,0.1143
4,43,0.0,0.8157,0.7647,0.6706,0.5827,0.5333,0.1151
4,44,0.0,0.8015,0.7724,0.6547,0.5793,0.5087,0.1209
4,264,0.0,0.8324,0.7778,0.6418,0.5711,0.4799,0.1404
